,date,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa,ffa
stock,,AAL.L,AHT.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BHP.L,BP.L,BT-A.L,CPG.L,CRDA.L,CRH.L,DGE.L,ENT.L,EXPN.L,FERG.L,FLTR.L,GLEN.L,GSK.L,HLMA.L,HSBA.L,III.L,IMB.L,ITRK.L,LGEN.L,LLOY.L,LSEG.L,MNDI.L,NG.L,NWG.L,NXT.L,OCDO.L,PRU.L,PSN.L,RDSA.L,RDSB.L,REL.L,RIO.L,RKT.L,SGRO.L,SKG.L,SMT.L,SN.L,SSE.L,STAN.L,TSCO.L,ULVR.L,VOD.L,WPP.L
0,2017-09-19,2806.335217285156,2477.694151611328,375.59799316406253,26148.91008789063,557.0261914062501,340.37208251953126,13765.680908203125,2968.701712646485,1311.3116455078125,234.32298110961912,2673.6501171875,1496.4808349609375,4325.1742578125,11408.983168945311,426.75,2098.932257080078,6064.660400390625,8133.10732421875,592.16458984375,5164.361425781251,626.5100830078125,3515.449853515625,603.9897766113281,2146.9606494140626,2694.8317382812497,210.99862243652345,119.21405406951904,5850.60859375,1018.44623046875,1641.6943908691408,145.0564926147461,3057.2428125,183.58200378417968,3142.6155859375,1061.663671875,6465.456848144531,5727.579895019531,3262.329862060547,12310.976870117187,16506.570302734373,365.9697253417969,1263.8580578613282,429.366259765625,1061.1302954101561,1119.3125170898438,558.696533203125,194.92838134765626,25900.541015625,361.3181182861328,816.0231628417969
1,2017-09-20,2811.7679187011718,2447.15666015625,372.25766601562503,26028.40765136719,557.473461303711,336.0337829589844,13639.822607421875,2987.483917236328,1320.7994824218752,235.8440232849121,2675.31,1494.8821923828125,4302.486914062501,11091.306391601562,430.0,2104.612821044922,6043.913647460938,8217.71068359375,596.69873046875,5171.473828125,625.9304443359375,3496.107958984375,602.3581695556641,2138.7566186523436,2705.91650390625,211.3280474853516,118.69023239135743,5810.860546875,1013.9354174804687,1641.6943908691408,145.51067687988282,3113.74423828125,179.92400756835937,3159.60720703125,1074.48046875,6539.806823730469,5780.161895751953,3250.328634033203,12272.48162109375,16477.443095703125,366.6570098876953,1256.0014379882812,426.0053979492188,1052.3738745117187,1113.7947497558594,555.4328735351562,195.71543701171876,25758.471313476562,360.8886962890625,836.6054077148438
2,2017-09-21,2893.2524792480467,2474.9179833984376,374.85572998046877,26118.785239257813,562.8424298095704,344.16797790527346,13518.410937499999,2969.8063989257817,1332.5873193359375,232.30859115600586,2607.26576171875,1504.4691137695313,4406.200292968751,11063.87900390625,419.25,2103.1924035644533,6085.40927734375,8099.2670703124995,592.934453125,5221.26708984375,623.0327636718749,3489.33775390625,592.2427825927734,2109.87619140625,2686.517578125,213.22226623535158,121.83313694000245,5780.28515625,1014.4366271972656,1636.1709338378907,147.89518005371096,3122.95677734375,176.7,3172.1279003906247,1057.391328125,6571.673126220703,5830.115966796875,3230.326407470703,12127.255854492187,16273.53412109375,362.87705200195313,1240.8120703125,423.7648974609375,1045.2092724609374,1111.4299743652343,558.3170837402344,192.4622314453125,25225.7255859375,357.4533203125,839.6321411132812
3,2017-09-22,2896.5120373535156,2477.694151611328,375.59799316406253,26904.787348632814,565.5269140625,346.2467321777344,13654.628320312499,2972.0161340332033,1341.49970703125,232.51417739868162,2635.47904296875,1499.6778051757813,4409.44185546875,11137.014619140624,428.25,2124.4944262695312,6148.9458984375,8206.4301953125,593.9611425781251,5242.606982421876,625.351025390625,3515.933310546875,598.4425506591797,2118.409162597656,2713.6769531249997,213.71640380859375,120.85775863647461,5789.457812500001,1020.4510693359375,1629.611697998047,148.91708953857423,3156.7346484375003,174.96400756835936,3173.0222558593746,1061.236484375,6646.022186279297,5893.21484375,3234.3266369628905,12247.986474609375,16523.56205566406,365.626142578125,1229.2891918945313,420.7096435546875,1048.3935400390624,1114.5830920410156,554.0666687011718,192.93444091796877,25240.524169921875,357.71093948364256,855.9768676757812
4,2017-09-25,2799.816414794922,2442.9923181152344,374.1134350585938,27003.381357421877,568.6588012695313,342.90265869140626,13577.635644531249,2936.661641235352,1358.17515625,235.92625778198243,2633.8195898437502,1496.0830639648436,4367.30783203125,11137.014619140624,424.5,2108.872967529297,6141.16630859375,8296.67228515625,588.7426562500001,5263.949023437501,631.1465332031249,3487.403564453125,603.0108032226562,2117.424807128906,2706.4713867187497,211.24568298339844,118.97924156188965,5725.249609375001,1017.4438854980468,1635.9982604980469,148.40612457275392,3190.5128515625,176.01799621582032,3114.8922656249997,1063.799921875,6705.200042724609,5940.539794921875,3252.328748779297,12024.022978515624,16572.11048828125,365.2824645996094,1221.9563671875,418.9782568359375,1055.5578271484376,1123.2535998535157,544.6551391601562,191.9900048828125,25270.119689941406,359.2568586730957,861.4250793457031
5,2017-09-26,2794.3846545410156,2441.604323730469,369.95657714843753,26773.33374023438,565.9743170166016,340.37208251953126,13770.121972656249,2914.564471435547,1355.7312939453125,234.73407958984373,2625.5212500000002,1486.0984765625,4326.7950390625,11100.448037109374,418.75,2115.9735803222657,6138.5728759765625,8240.27044921875,584.9785839843751,5271.060888671876,627.6692138671875,3478.21607421875,597.463623046875,2149.25830078125,2707.0250976562497,210.50448486328128,117.3897081375122,5725.249609375001,1007.9209753417969,1628.0582910156252,148.63322692871094,3153.6643554687503,175.33599243164062,3070.176474609375,1063.372578125,6761.341094970703,5989.178314208984,3240.3272509765625,11957.532822265624,16482.295424804688,365.626142578125,1213.0523107910155,415.1083447265625,1046.0055493164061,1116.1592736816406,545.2623931884765,193.82649658203127,25299.718505859375,358.1403614807129,846.896484375
6,2017-09-27,2829.151182861328,2444.380491943359,371.51540283203127,26743.208891601564,564.1845721435548,343.8968225097656,13931.512499999999,2901.30624206543,1360.043681640625,233.99410232543946,2615.56388671875,1487.6971191406249,4383.51294921875,11057.024301757812,416.0,2123.074561767578,6178.771435546875,8234.6305078125,584.465341796875,5285.288378906251,626.5100830078125,3529.956455078125,593.5479583740234,2169.27681640625,2700.37412109375,213.5516912841797,121.38158031463622,5758.882421875001,1004.4125817871094,1597.16099609375,153.74284591674805,3230.4329687500003,177.19599243164063,3154.241640625,1074.48046875,6752.238006591797,5970.773681640625,3206.3239514160155,11983.780498046875,16518.707080078126,363.22065856933597,1240.8120703125,420.09855468750004,1041.2289379882811,1098.8180065917968,554.9774719238281,196.450078125,25246.441955566406,357.71093948364256,836.6054077148438
7,2017-09-28,2835.6696716308593,2502.679306640625,378.19599365234376,26888.351464843752,565.5269140625,347.4217181396484,13770.121972656249,2884.733953857422,1368.6692431640627,232.14419616699217,2618.88279296875,1500.4769165039063,4511.534453125,11155.297910156249,411.25,2131.594854736328,6351.231518554688,8234.6305078125,579.845751953125,5271.060888671876,634.6239990234375,3538.6601269531247,598.1162109375,2081.981105957031,2759.68974609375,212.97517272949221,121.41770008087158,5777.228125000001,999.4004846191406,1589.5662426757813,151.24481201171875,3227.36201171875,178.25,3182.8598828124996,1080.46171875,6803.8275146484375,6010.210479736328,3244.3280200195313,11957.532822265624,16392.481684570314,362.5334216308594,1237.1624230957032,424.68149902343754,1058.7421997070312,1092.5120227050782,560.9735412597656,194.19375732421878,25255.316162109375,352.5578074645996,828.13037109375
8,2017-09-29,2910.636370849609,2497.126970214844,381.9075,27140.31663574219,565.0793780517579,349.50041015625,13835.27119140625,2904.6208447265626,1372.2629931640627,233.4185496520996,2627.1811328125,1514.8514721679687,4597.4219335937505,11212.434726562498,410.5,2128.75494140625,6348.639501953125,8358.7140625,585.1497558593751,5294.180761718751,649.113134765625,3564.28876953125,595.8320617675781,2089.8576757812502,2774.7275390625,214.0458123779297,122.33890724182129,5855.195703125,1004.9138659667968,1595.952674560547,152.3235124206543,3230.4329687500003,181.47400756835938,3195.38029296875,1103.104765625,6823.553466796875,6032.558990478516,3274.3310900878905,12153.501411132813,16538.130952148436,368.375185546875,1232.402431640625,430.0790380859375,1073.0710888671874,1101.18265625,562.87099609375,196.39754394531252,25566.093017578125,358.65570190429685,838.4213562011719
9,2017-10-02,2962.785849609375,2487.4106506347657,379.30943603515624,27720.91430664063,564.1845721435548,348.3254553222656,13968.530029296875,2955.4438458251957,1380.0257177734375,232.8019093322754,2653.7349609375,1532.02533203125,4555.288359375,11271.856035156248,414.0,2140.1155163574217,6307.144580078125,8296.67228515625,600.20611328125,5407.996386718751,656.0679199218749,3576.8615429687497,599.0950927734375,2078.043190917969,2812.599609375,216.35183715820315,121.92347038269043,5946.921484375001,1034.4847924804687,1617.701678466797,152.2099612426758,3248.8573828125004,182.9620037841797,3233.835595703125,1149.245625,6866.0394287109375,6078.569580078125,3336.3370751953125,12431.705371093749,16557.54820800781,370.09338500976565,1229.2285913085936,433.1343237304688,1083.4195385742187,1123.2535998535157,573.1933807373047,195.87285156250002,25921.259033203125,361.5758055114746,843.2642211914062
