,date,index
0,2017-09-19,135525328347.25906
1,2017-09-20,270859041204.4111
2,2017-09-21,406041027057.15826
3,2017-09-22,542078420569.44525
4,2017-09-25,677947332854.4244
5,2017-09-26,813617241073.5594
6,2017-09-27,949852735430.323
7,2017-09-28,1086238736672.538
8,2017-09-29,1223616113302.6528
9,2017-10-02,1362196845442.9604
10,2017-10-03,1501378995949.5598
11,2017-10-04,1640588347873.395
12,2017-10-05,1780698628646.3357
13,2017-10-06,1921081762499.8022
14,2017-10-09,2061177391349.5947
15,2017-10-10,2201879046772.5654
16,2017-10-11,2342468092745.643
17,2017-10-12,2483651288068.199
18,2017-10-13,2624427574031.9736
19,2017-10-16,2765089292668.924
20,2017-10-17,2905693607689.788
21,2017-10-18,3046791037943.1807
22,2017-10-19,3187224275494.8296
23,2017-10-20,3327467959907.855
24,2017-10-23,3467629402635.779
25,2017-10-24,3607858933066.2227
26,2017-10-25,3746540610255.4106
27,2017-10-26,3886164393410.02
28,2017-10-27,4026304534681.9414
29,2017-10-30,4165970020063.2744
30,2017-10-31,4305805850004.1157
31,2017-11-01,4445653038333.208
32,2017-11-02,4586875415526.46
33,2017-11-03,4728213489137.939
34,2017-11-06,4869478689450.592
35,2017-11-07,5009919101377.678
36,2017-11-08,5150880508721.846
37,2017-11-09,5291370488648.591
38,2017-11-10,5430885990850.133
39,2017-11-13,5570310000367.69
40,2017-11-14,5709656530284.521
41,2017-11-15,5848179761108.004
42,2017-11-16,5987058490344.316
43,2017-11-17,6125745046120.933
44,2017-11-20,6264736160853.21
45,2017-11-21,6404148911287.588
46,2017-11-22,6543535410777.475
47,2017-11-23,6683136897613.111
48,2017-11-24,6822775603870.72
49,2017-11-27,6961918090732.799
50,2017-11-28,7102620603133.289
51,2017-11-29,7241851443059.751
52,2017-11-30,7379623178407.511
53,2017-12-01,7516974139021.828
54,2017-12-04,7655004356840.708
55,2017-12-05,7792805328556.734
56,2017-12-06,7931088762391.726
57,2017-12-07,8068942310038.465
58,2017-12-08,8208041737998.309
59,2017-12-11,8348380854358.593
60,2017-12-12,8489652766651.89
61,2017-12-13,8630999617902.394
62,2017-12-14,8771223678158.177
63,2017-12-15,8912205855301.559
64,2017-12-18,9053948870490.738
65,2017-12-19,9195640372460.35
66,2017-12-20,9336918590798.365
67,2017-12-21,9479756297981.05
68,2017-12-22,9622308304453.33
69,2017-12-27,9765354796340.615
70,2017-12-28,9908576714947.78
71,2017-12-29,10053026179792.908
72,2018-01-02,10196603111446.945
73,2018-01-03,10340653263480.545
74,2018-01-04,10485274162169.428
75,2018-01-05,10630370116305.934
76,2018-01-08,10775155267682.646
77,2018-01-09,10920533489837.967
78,2018-01-10,11066295203776.412
79,2018-01-11,11212368688240.146
80,2018-01-12,11358557815214.758
81,2018-01-15,11504600592821.18
82,2018-01-16,11650247081454.846
83,2018-01-17,11795455957310.475
84,2018-01-18,11940276216493.812
85,2018-01-19,12085794074163.754
86,2018-01-22,12231108733251.56
87,2018-01-23,12376748266943.33
88,2018-01-24,12520593749054.668
89,2018-01-25,12663868733273.385
90,2018-01-26,12807941667060.256
91,2018-01-29,12952102735317.617
92,2018-01-30,13094741843974.846
93,2018-01-31,13236399160314.943
94,2018-02-01,13377150110648.744
95,2018-02-02,13517179746173.107
96,2018-02-05,13655132993597.998
97,2018-02-06,13789383625002.314
98,2018-02-07,13926282206043.629
99,2018-02-08,14061312436246.674
100,2018-02-09,14194865702638.59
101,2018-02-12,14329945217725.918
102,2018-02-13,14464780785156.758
103,2018-02-14,14600479444791.512
104,2018-02-15,14737024902976.328
105,2018-02-16,14874742898730.623
106,2018-02-19,15011514220606.953
107,2018-02-20,15148156225686.11
108,2018-02-21,15285517173523.02
109,2018-02-22,15422681932907.133
110,2018-02-23,15559759109451.008
111,2018-02-26,15697783011311.543
112,2018-02-27,15835351023796.275
113,2018-02-28,15971972373702.77
114,2018-03-01,16107665926510.22
115,2018-03-02,16241276801111.527
116,2018-03-05,16375796585786.363
117,2018-03-06,16510939553983.229
118,2018-03-07,16646159432383.719
119,2018-03-08,16782558361205.611
120,2018-03-09,16919348437132.934
121,2018-03-12,17055955510216.664
122,2018-03-13,17190987716767.56
123,2018-03-14,17325925589618.547
124,2018-03-15,17460975101804.443
125,2018-03-16,17596704016826.812
126,2018-03-19,17730438519329.0
127,2018-03-20,17864444043258.008
128,2018-03-21,17998120163864.555
129,2018-03-22,18130348163704.324
130,2018-03-23,18261998647382.69
131,2018-03-26,18393006050361.86
132,2018-03-27,18526180544607.15
133,2018-03-28,18660191162441.76
134,2018-03-29,18794407625084.496
135,2018-04-03,18928147960415.895
136,2018-04-04,19062029903597.01
137,2018-04-05,19199337403313.688
138,2018-04-06,19336194264648.426
139,2018-04-09,19473187856784.9
140,2018-04-10,19611624201168.133
141,2018-04-11,19749964004204.406
142,2018-04-12,19888196781098.36
143,2018-04-13,20026603004538.168
144,2018-04-16,20163650259034.527
145,2018-04-17,20300986518350.164
146,2018-04-18,20440076150005.992
147,2018-04-19,20579288347790.67
148,2018-04-20,20719410011915.98
149,2018-04-23,20860127830228.766
150,2018-04-24,21001395626358.95
151,2018-04-25,21141769054692.625
152,2018-04-26,21283059640231.62
153,2018-04-27,21425925426729.543
154,2018-04-30,21568990127935.605
155,2018-05-01,21712165662539.99
156,2018-05-02,21855649158296.176
157,2018-05-03,21998344147853.855
158,2018-05-04,22142281851195.094
159,2018-05-08,22286011705463.223
160,2018-05-09,22431851988966.92
161,2018-05-10,22578885682357.36
162,2018-05-11,22726285483436.49
163,2018-05-14,22873633179250.574
164,2018-05-15,23021135866005.445
165,2018-05-16,23168830399023.816
166,2018-05-17,23317862413216.895
167,2018-05-18,23466811046584.254
168,2018-05-21,23617373700771.16
169,2018-05-22,23768268569654.08
170,2018-05-23,23917496517235.18
171,2018-05-24,24065475023163.336
172,2018-05-25,24213609602448.0
173,2018-05-29,24360048655574.52
174,2018-05-30,24507700873144.96
175,2018-05-31,24655157575432.68
176,2018-06-01,24803046589418.66
177,2018-06-04,24951699243500.69
178,2018-06-05,25099343219013.27
179,2018-06-06,25247324618635.52
180,2018-06-07,25395367591107.56
181,2018-06-08,25543156420395.445
182,2018-06-11,25692101756217.57
183,2018-06-12,25840239545110.297
184,2018-06-13,25988287640439.49
185,2018-06-14,26137302901776.92
186,2018-06-15,26283800381900.543
187,2018-06-18,26430266199751.633
188,2018-06-19,26576350082920.95
189,2018-06-20,26722829933990.215
190,2018-06-21,26868002730719.11
191,2018-06-22,27015710405549.797
192,2018-06-25,27160087484874.71
193,2018-06-26,27305060997542.855
194,2018-06-27,27451728750029.348
195,2018-06-28,27598469698408.477
196,2018-06-29,27745542962465.742
197,2018-07-02,27890911264609.152
198,2018-07-03,28037347128587.445
199,2018-07-04,28183392349954.156
200,2018-07-05,28330066731726.453
201,2018-07-06,28477093906210.63
202,2018-07-09,28625433348225.0
203,2018-07-10,28773756446355.297
204,2018-07-11,28920196486729.63
205,2018-07-12,29067791792070.63
206,2018-07-13,29215558748481.645
207,2018-07-16,29361914059995.742
208,2018-07-17,29508851711337.83
209,2018-07-18,29656802989807.55
210,2018-07-19,29805139468075.52
211,2018-07-20,29953520328350.812
212,2018-07-23,30101536996043.816
213,2018-07-24,30250555427142.285
214,2018-07-25,30398617793086.97
215,2018-07-26,30546848975939.785
216,2018-07-27,30695898800788.58
217,2018-07-30,30845030432838.414
218,2018-07-31,30995143774330.105
219,2018-08-01,31143418450296.785
220,2018-08-02,31290212333306.11
221,2018-08-03,31438625625517.1
222,2018-08-06,31587178623850.785
223,2018-08-07,31736790788494.066
224,2018-08-08,31887410923255.348
225,2018-08-09,32038072798915.914
226,2018-08-10,32187255221363.77
227,2018-08-13,32335966069019.15
228,2018-08-14,32484082657093.266
229,2018-08-15,32630004259073.895
230,2018-08-16,32777430184905.918
231,2018-08-17,32924877082557.156
232,2018-08-20,33073015754455.668
233,2018-08-21,33220601003261.195
234,2018-08-22,33368440933292.043
235,2018-08-23,33516075972593.74
236,2018-08-24,33663951516170.367
237,2018-08-28,33812590286348.996
238,2018-08-29,33960052075412.125
239,2018-08-30,34106606089556.965
240,2018-08-31,34251376763238.727
241,2018-09-03,34397680396636.164
242,2018-09-04,34543092375268.82
243,2018-09-05,34687007791963.246
244,2018-09-07,34828939138521.49
245,2018-09-10,34970988992950.16
246,2018-09-11,35112928306171.3
247,2018-09-12,35255705094693.06
248,2018-09-13,35397805299107.48
249,2018-09-14,35540169648911.74
250,2018-09-17,35682454095459.33
251,2018-09-18,35824655735136.41
252,2018-09-19,35967353844877.56
253,2018-09-20,36110861251142.32
254,2018-09-21,36257044911507.23
255,2018-09-24,36402449124684.78
256,2018-09-25,36548885987441.03
257,2018-09-26,36695320835266.47
258,2018-09-27,36842619490206.98
259,2018-10-01,36989073150527.19
260,2018-10-02,37135178992106.97
261,2018-10-03,37282062662575.35
262,2018-10-04,37427196280648.3
263,2018-10-05,37570339625568.6
264,2018-10-09,37711897200068.086
265,2018-10-10,37851748936596.99
266,2018-10-11,37988956450915.03
267,2018-10-12,38125819371953.36
268,2018-10-15,38263609190738.47
269,2018-10-16,38401886330422.64
270,2018-10-17,38540084312487.695
