,index,date,sector,value
0,0,2017-09-19,Consumer,517535894016.74524
1,1,2017-09-19,Consumer,808239559602.7461
2,2,2017-09-19,Consumer,2001342358890.9902
3,3,2017-09-19,Consumer,2704678785361.793
4,4,2017-09-19,Consumer,3838911359217.1113
5,5,2017-09-19,Consumer,5209619503226.241
6,6,2017-09-19,Consumer,8263077946560.051
7,7,2017-09-19,Consumer,9748419922612.898
8,8,2017-09-19,Finance,592964060882.0435
9,9,2017-09-19,Finance,766310730900.2627
10,10,2017-09-19,Finance,1108354281749.5046
11,11,2017-09-19,Finance,1156488985943.9949
12,12,2017-09-19,Finance,1257918280181.1475
13,13,2017-09-19,Finance,1321349836658.831
14,14,2017-09-19,Finance,1413366594354.144
15,15,2017-09-19,Finance,1697277824497.5732
16,16,2017-09-19,Finance,2848920756232.456
17,17,2017-09-19,Finance,2881395705492.592
18,18,2017-09-19,Finance,3530186998614.029
19,19,2017-09-19,Finance,3756979937910.9946
20,20,2017-09-19,Finance,12090946705720.252
21,21,2017-09-19,Health,1078516439025.6912
22,22,2017-09-19,Health,5506677594582.564
23,23,2017-09-19,Health,5781674026012.705
24,24,2017-09-19,M&M,468235022992.2119
25,25,2017-09-19,M&M,724058220173.6079
26,26,2017-09-19,M&M,753037954898.054
27,27,2017-09-19,M&M,939472644511.7578
28,28,2017-09-19,M&M,1341916550385.5823
29,29,2017-09-19,M&M,1640965068857.832
30,30,2017-09-19,M&M,1843292236686.107
31,31,2017-09-19,M&M,2076703038929.52
32,32,2017-09-19,M&M,3077436241706.7705
33,33,2017-09-19,M&M,6530940943164.886
34,34,2017-09-19,M&M,7062303901321.713
35,35,2017-09-19,M&M,7070213807786.362
36,36,2017-09-19,Power,1128924415548.9177
37,37,2017-09-19,Power,2718871981035.5356
38,38,2017-09-19,Property,525949863461.40564
39,39,2017-09-19,Property,557489345925.3694
40,40,2017-09-19,Retail,143614557613.12988
41,41,2017-09-19,Retail,494448572755.5
42,42,2017-09-19,Retail,571649317119.5859
43,43,2017-09-19,Retail,1072691915826.0522
44,44,2017-09-19,Retail,1328036578107.443
45,45,2017-09-19,Technology,395221272129.1406
46,46,2017-09-19,Technology,1290428283053.2725
47,47,2017-09-19,Technology,2099468759049.0657
48,48,2017-09-19,Technology,2740920467831.6943
49,49,2017-09-19,Technology,4337376731196.042
50,50,2017-09-20,Consumer,514318695087.9133
51,51,2017-09-20,Consumer,804659775620.021
52,52,2017-09-20,Consumer,1993694769131.2275
53,53,2017-09-20,Consumer,2706357931709.4375
54,54,2017-09-20,Consumer,3832137282962.3965
55,55,2017-09-20,Consumer,5064560551831.097
56,56,2017-09-20,Consumer,8187529417103.922
57,57,2017-09-20,Consumer,9694947869114.557
58,58,2017-09-20,Finance,588322638261.1615
59,59,2017-09-20,Finance,764240632955.2563
60,60,2017-09-20,Finance,1111824633650.9841
61,61,2017-09-20,Finance,1158294573280.369
62,62,2017-09-20,Finance,1261322718427.79
63,63,2017-09-20,Finance,1312372808986.5483
64,64,2017-09-20,Finance,1400797020256.9958
65,65,2017-09-20,Finance,1687363073193.5115
66,66,2017-09-20,Finance,2844670138488.4795
67,67,2017-09-20,Finance,2870734636291.7954
68,68,2017-09-20,Finance,3549274156502.173
69,69,2017-09-20,Finance,3740471921710.5854
70,70,2017-09-20,Finance,12024422697212.17
71,71,2017-09-20,Health,1069616548101.0403
72,72,2017-09-20,Health,5481301085004.694
73,73,2017-09-20,Health,5789636596503.633
74,74,2017-09-20,M&M,467734822503.94824
75,75,2017-09-20,M&M,727036519544.0161
76,76,2017-09-20,M&M,743756789142.3477
77,77,2017-09-20,M&M,936258778350.5742
78,78,2017-09-20,M&M,1344514326979.9648
79,79,2017-09-20,M&M,1642282698602.0137
80,80,2017-09-20,M&M,1833623399753.1519
81,81,2017-09-20,M&M,2089841799615.164
82,82,2017-09-20,M&M,3067813392461.8975
83,83,2017-09-20,M&M,6590898193478.498
84,84,2017-09-20,M&M,7113402347585.674
85,85,2017-09-20,M&M,7151518228547.7705
86,86,2017-09-20,Power,1123359265362.937
87,87,2017-09-20,Power,2718871981035.5356
88,88,2017-09-20,Property,532299324919.86694
89,89,2017-09-20,Property,558536300865.6987
90,90,2017-09-20,Retail,140752939930.25977
91,91,2017-09-20,Retail,498214144780.0
92,92,2017-09-20,Retail,582214065634.8413
93,93,2017-09-20,Retail,1083850423397.0815
94,94,2017-09-20,Retail,1333398746015.7554
95,95,2017-09-20,Technology,394855618743.0469
96,96,2017-09-20,Technology,1322976269583.965
97,97,2017-09-20,Technology,2113096874025.6743
98,98,2017-09-20,Technology,2730837363752.671
