,date,index
0,2017-09-19,"[6.75, Timestamp('2017-09-19 00:00:00'), 9748419922612.898]"
1,2017-09-20,"[6.23, Timestamp('2017-09-19 00:00:00'), 5506677594582.564]"
2,2017-09-21,"[5.92, Timestamp('2017-09-19 00:00:00'), 12090946705720.252]"
3,2017-09-22,"[5.02, Timestamp('2017-09-19 00:00:00'), 5209619503226.241]"
4,2017-09-25,"[4.4, Timestamp('2017-09-19 00:00:00'), 5781674026012.705]"
5,2017-09-26,"[4.34, Timestamp('2017-09-19 00:00:00'), 3077436241706.7705]"
6,2017-09-27,"[3.8, Timestamp('2017-09-19 00:00:00'), 8263077946560.051]"
7,2017-09-28,"[3.68, Timestamp('2017-09-19 00:00:00'), 7062303901321.713]"
8,2017-09-29,"[3.75, Timestamp('2017-09-19 00:00:00'), 7070213807786.362]"
9,2017-10-02,"[3.25, Timestamp('2017-09-19 00:00:00'), 6530940943164.886]"
10,2017-10-03,"[2.97, Timestamp('2017-09-19 00:00:00'), 2076703038929.52]"
11,2017-10-04,"[2.71, Timestamp('2017-09-19 00:00:00'), 3838911359217.1113]"
12,2017-10-05,"[2.57, Timestamp('2017-09-19 00:00:00'), 1341916550385.5823]"
13,2017-10-06,"[2.32, Timestamp('2017-09-19 00:00:00'), 3530186998614.029]"
14,2017-10-09,"[2.24, Timestamp('2017-09-19 00:00:00'), 2848920756232.456]"
15,2017-10-10,"[2.23, Timestamp('2017-09-19 00:00:00'), 3756979937910.9946]"
16,2017-10-11,"[2.23, Timestamp('2017-09-19 00:00:00'), 4337376731196.042]"
17,2017-10-12,"[2.21, Timestamp('2017-09-19 00:00:00'), 2740920467831.6943]"
18,2017-10-13,"[2.14, Timestamp('2017-09-19 00:00:00'), 2718871981035.5356]"
19,2017-10-16,"[2.04, Timestamp('2017-09-19 00:00:00'), 2881395705492.592]"
20,2017-10-17,"[1.84, Timestamp('2017-09-19 00:00:00'), 1843292236686.107]"
21,2017-10-18,"[1.76, Timestamp('2017-09-19 00:00:00'), 2704678785361.793]"
22,2017-10-19,"[1.6, Timestamp('2017-09-19 00:00:00'), 1321349836658.831]"
23,2017-10-20,"[1.51, Timestamp('2017-09-19 00:00:00'), 1257918280181.1475]"
